Abbreviation,Species,TAC Zone,Level,Year,Sea,Agreed TAC,Amendment/Original,Amendment check,Pre-uplift/post-deduction,Uplift/deduction %,Post-uplift/pre-deduction,Notes,2021 Source
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2005,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2005,Deep Sea,20,Original,Final,20,,20,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2005,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2005,Deep Sea,214,Original,Final,214,,214,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2005,Deep Sea,74,Original,Final,74,,74,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2005,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2005,Deep Sea,328,Original,Final,328,,328,Calculated based on 100% EU share,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2006,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2006,Deep Sea,20,Original,Final,20,,20,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2006,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2006,Deep Sea,214,Original,Final,214,,214,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2006,Deep Sea,74,Original,Final,74,,74,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2006,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2006,Deep Sea,328,Original,Final,328,,328,Calculated based on 100% EU share,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2007,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2007,Deep Sea,20,Original,Final,20,,20,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2007,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2007,Deep Sea,214,Original,Final,214,,214,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2007,Deep Sea,74,Original,Final,74,,74,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2007,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2007,Deep Sea,328,Original,Final,328,,328,Calculated based on 100% EU share,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2008,Deep Sea,328,Original,Final,328,,328,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",France,2008,Deep Sea,20,Original,Final,20,,20,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Ireland,2008,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Portugal,2008,Deep Sea,214,Original,Final,214,,214,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",Spain,2008,Deep Sea,74,Original,Final,74,,74,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",United Kingdom,2008,Deep Sea,10,Original,Final,10,,10,,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",TAC,2008,Deep Sea,328,Original,Final,328,,328,Calculated based on 100% EU share,
ALF/3X14-,Alfonsinos,"United Kingdom, European Union and international waters of 3, 4, 5, 6, 7, 8, 9, 10, 12 and 14",EU,2009,Deep Sea,328,Original,Final,328,,328,,
